SIDE,HORIZON_W,PHASE_DIRECTION,PREDICTOR,TARGET_METRIC,N,SPEARMAN
BUY,5,BEAR,STRENGTH_EXPECTED,MFE_PCT,18824,0.07005375006167462
BUY,5,BEAR,STRENGTH_EXPECTED,MAE_PCT,18824,-0.014427810150161877
BUY,5,BEAR,STRENGTH_EXPECTED,SPEED_PCT_PER_WEEK,18824,0.06263760998139604
BUY,5,BEAR,STRENGTH_EXPECTED,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.04591703534202144
BUY,5,BEAR,STRENGTH_EXPECTED,FAVORABLE_WEEKS,18824,0.02211866971971851
BUY,5,BEAR,STRENGTH_EXPECTED,ADVERSE_WEEKS,18824,-0.02382082890017661
BUY,5,BEAR,STRENGTH_EXPECTED,PATH_EFFICIENCY,18824,-0.006282486284406727
BUY,5,BEAR,STRENGTH_EXPECTED,HAS_FAVORABLE_MOVE,18824,0.03091019485940441
BUY,5,BEAR,REVERSAL_1W,MFE_PCT,18824,-0.06600589068562572
BUY,5,BEAR,REVERSAL_1W,MAE_PCT,18824,0.03986830784421906
BUY,5,BEAR,REVERSAL_1W,SPEED_PCT_PER_WEEK,18824,-0.05530520735632601
BUY,5,BEAR,REVERSAL_1W,FINAL_DIRECTIONAL_RETURN_PCT,18824,-0.051105884954699636
BUY,5,BEAR,REVERSAL_1W,FAVORABLE_WEEKS,18824,-0.030924380608354163
BUY,5,BEAR,REVERSAL_1W,ADVERSE_WEEKS,18824,0.03170519380901187
BUY,5,BEAR,REVERSAL_1W,PATH_EFFICIENCY,18824,0.014927372016411462
BUY,5,BEAR,REVERSAL_1W,HAS_FAVORABLE_MOVE,18824,-0.04089419695033121
BUY,5,BEAR,REVERSAL_2W,MFE_PCT,18824,-0.07282659060190826
BUY,5,BEAR,REVERSAL_2W,MAE_PCT,18824,0.02667133404100959
BUY,5,BEAR,REVERSAL_2W,SPEED_PCT_PER_WEEK,18824,-0.0619954935837634
BUY,5,BEAR,REVERSAL_2W,FINAL_DIRECTIONAL_RETURN_PCT,18824,-0.052104816172923084
