SIDE,HORIZON_W,TARGET_METRIC,TARGET_VARIANT,FEATURE_SET,MODEL,FOLD,TRAIN_N,TEST_N,N_FEATURES,TRAIN_END,TEST_START,TEST_END,SPEARMAN,PEARSON,R2,MAE,RMSE,BASELINE_MAE,MAE_IMPROVEMENT_PCT
BUY,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,1,6523,5708,423,2023-02-24,2023-04-07,2023-12-29,0.2611597573088935,0.32051861136591553,0.10164177417755127,1.3659298419952393,2.1070877672988235,1.3963060015738686,2.1754658036555314
BUY,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,2,12194,7841,423,2023-11-24,2024-01-05,2024-12-27,0.2246802583403271,0.2851726885684624,0.07596498727798462,1.3885383605957031,2.102273813570759,1.3712375434105135,-1.2616936626574107
BUY,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,3,20162,7952,423,2024-11-22,2025-01-03,2025-12-26,0.35700635302837636,0.39157032670437625,0.1525750756263733,1.4900996685028076,2.20738209324222,1.5702329515324325,5.103273558959557
BUY,5,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,4,27987,4035,423,2025-11-21,2026-01-02,2026-07-03,0.3025638566340939,0.37883922449532126,0.11863505840301514,1.8988850116729736,2.962704576599416,2.031315557569406,6.51944723226034
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,1,6523,5708,428,2023-02-24,2023-04-07,2023-12-29,0.26763561668616087,0.32819188309581815,0.10672897100448608,1.3624532222747803,2.101113310389738,1.3963060015738686,2.4244527532597195
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,2,12194,7841,428,2023-11-24,2024-01-05,2024-12-27,0.22381845867906364,0.2849335936711353,0.07556992769241333,1.3897075653076172,2.1027230954279603,1.3712375434105135,-1.3469600497639103
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,3,20162,7952,428,2024-11-22,2025-01-03,2025-12-26,0.353167787839755,0.3902949587958056,0.15162742137908936,1.4923127889633179,2.2086158667672464,1.5702329515324325,4.9623313848477215
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,4,27987,4035,428,2025-11-21,2026-01-02,2026-07-03,0.3059035322896186,0.38520474522928283,0.12236422300338745,1.8957918882369995,2.956430190161661,2.031315557569406,6.671719163839264
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,1,6523,5708,426,2023-02-24,2023-04-07,2023-12-29,0.261032555936839,0.32029830376583746,0.10164892673492432,1.3662378787994385,2.1070792809748466,1.3963060015738686,2.153404965712272
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,2,12194,7841,426,2023-11-24,2024-01-05,2024-12-27,0.22537036122400347,0.2839083942946235,0.07496875524520874,1.3879843950271606,2.103406812993451,1.3712375434105135,-1.2212947127304221
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,3,20162,7952,426,2024-11-22,2025-01-03,2025-12-26,0.35546489443517165,0.3918342541360803,0.15280312299728394,1.491310954093933,2.207085046703309,1.5702329515324325,5.026133056339015
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,4,27987,4035,426,2025-11-21,2026-01-02,2026-07-03,0.3012437507392944,0.3827521028761713,0.12143808603286743,1.900230050086975,2.9579895966032876,2.031315557569406,6.453232093554324
BUY,5,SPEED,CONDITIONAL,ALL,RF_V40_21,1,6523,5708,431,2023-02-24,2023-04-07,2023-12-29,0.26354634961934065,0.3215562325746265,0.1022113561630249,1.3680684566497803,2.106419619287266,1.3963060015738686,2.022303484498381
BUY,5,SPEED,CONDITIONAL,ALL,RF_V40_21,2,12194,7841,431,2023-11-24,2024-01-05,2024-12-27,0.2267246943920892,0.28571789987814655,0.07614219188690186,1.388427495956421,2.102072161168131,1.3712375434105135,-1.2536086565390334
BUY,5,SPEED,CONDITIONAL,ALL,RF_V40_21,3,20162,7952,431,2024-11-22,2025-01-03,2025-12-26,0.35904335200529114,0.3940999022444971,0.1545659303665161,1.4894481897354126,2.2047875806774275,1.5702329515324325,5.1447628658015265
BUY,5,SPEED,CONDITIONAL,ALL,RF_V40_21,4,27987,4035,431,2025-11-21,2026-01-02,2026-07-03,0.3032961636779985,0.38329339047508976,0.12091648578643799,1.8988138437271118,2.958867539721024,2.031315557569406,6.522950771904716
BUY,5,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,1,8673,7133,423,2023-02-24,2023-04-07,2023-12-29,0.1395262415327432,0.22641887735794672,0.045608341693878174,1.4239569902420044,2.131387646836311,1.3860936711432177,-2.73165658909314
