SIDE,HORIZON_W,TARGET_VARIANT,FEATURE_SET,MEAN_FOLD_SPEARMAN,DELTA_SPEARMAN_VS_TECH_PHASE,MEAN_MAE_IMPROVEMENT_PCT,DELTA_MAE_IMPROVEMENT_VS_TECH_PHASE,POSITIVE_FOLDS
BUY,5,COMPLETE,ALL,0.1731655287588285,0.00046498463398117473,-0.5039478392412037,-0.012348256576247718,4
BUY,5,COMPLETE,TECH_PHASE,0.17270054412484734,0.0,-0.49159958266495596,0.0,4
BUY,5,COMPLETE,TECH_PHASE_REVERSAL,0.17151631062095274,-0.0011842335038945995,-0.5138390245962337,-0.022239441931277693,4
BUY,5,COMPLETE,TECH_PHASE_STRENGTH,0.17214479656466142,-0.0005557475601859208,-0.43669777713822666,0.0549018055267293,4
BUY,5,CONDITIONAL,ALL,0.28815263992367984,0.0018000835957571737,3.1091021164163974,-0.02502111663810691,4
BUY,5,CONDITIONAL,TECH_PHASE,0.28635255632792267,0.0,3.1341232330545044,0.0,4
BUY,5,CONDITIONAL,TECH_PHASE_REVERSAL,0.2857778905838271,-0.0005746657440955927,3.1028688507187976,-0.031254382335706765,4
BUY,5,CONDITIONAL,TECH_PHASE_STRENGTH,0.2876313488736495,0.0012787925457268257,3.177885813045699,0.043762579991194706,4
BUY,8,COMPLETE,ALL,0.20767605198756064,0.0017716944657642786,0.820012939285826,-0.00611258569269113,4
BUY,8,COMPLETE,TECH_PHASE,0.20590435752179637,0.0,0.8261255249785171,0.0,4
BUY,8,COMPLETE,TECH_PHASE_REVERSAL,0.2066652234458119,0.0007608659240155302,0.7702451191329929,-0.05588040584552423,4
BUY,8,COMPLETE,TECH_PHASE_STRENGTH,0.2071799967056941,0.0012756391838977255,0.7747939841295077,-0.05133154084900937,4
BUY,8,CONDITIONAL,ALL,0.29406987730708894,0.0017913764756961048,3.451791193369801,-0.07431669453050738,4
BUY,8,CONDITIONAL,TECH_PHASE,0.29227850083139284,0.0,3.5261078879003085,0.0,4
BUY,8,CONDITIONAL,TECH_PHASE_REVERSAL,0.2916689737631042,-0.0006095270682886511,3.3909047581410556,-0.13520312975925286,4
BUY,8,CONDITIONAL,TECH_PHASE_STRENGTH,0.2933536946281536,0.0010751937967607428,3.5177677892710886,-0.008340098629219916,4
SELL,5,COMPLETE,ALL,0.08245020098296713,-0.0013156725750433362,-5.698632289236557,-0.0776207927171777,3
SELL,5,COMPLETE,TECH_PHASE,0.08376587355801046,0.0,-5.62101149651938,0.0,3
SELL,5,COMPLETE,TECH_PHASE_REVERSAL,0.08186999600855745,-0.001895877549453015,-5.703273033436334,-0.08226153691695437,3
SELL,5,COMPLETE,TECH_PHASE_STRENGTH,0.0821142038223196,-0.0016516697356908638,-5.620054226861385,0.000957269657994253,3
SELL,5,CONDITIONAL,ALL,0.2083569163722678,0.00022773605027501254,0.06598790967665791,0.060186867779761566,4
SELL,5,CONDITIONAL,TECH_PHASE,0.2081291803219928,0.0,0.005801041896896342,0.0,4
SELL,5,CONDITIONAL,TECH_PHASE_REVERSAL,0.2072882514489866,-0.0008409288730061859,-0.048544754952191016,-0.05434579684908736,4
SELL,5,CONDITIONAL,TECH_PHASE_STRENGTH,0.20793922564144673,-0.00018995468054605613,0.09364506125198213,0.08784401935508579,4
SELL,8,COMPLETE,ALL,0.09270411181656547,0.002923299672242294,-4.501863955150009,-0.027295931431458698,3
SELL,8,COMPLETE,TECH_PHASE,0.08978081214432318,0.0,-4.47456802371855,0.0,3
SELL,8,COMPLETE,TECH_PHASE_REVERSAL,0.09172262107883507,0.0019418089345118877,-4.538410667460666,-0.06384264374211579,3
SELL,8,COMPLETE,TECH_PHASE_STRENGTH,0.0895369721459536,-0.00024383999836957715,-4.375552731553277,0.09901529216527294,3
SELL,8,CONDITIONAL,ALL,0.19390342099860342,0.00013664375483996016,-0.5452042583240133,-0.09861177081646694,4
SELL,8,CONDITIONAL,TECH_PHASE,0.19376677724376346,0.0,-0.4465924875075464,0.0,4
SELL,8,CONDITIONAL,TECH_PHASE_REVERSAL,0.1947317492844371,0.0009649720406736395,-0.3485347665323897,0.09805772097515669,4
SELL,8,CONDITIONAL,TECH_PHASE_STRENGTH,0.19329543042091718,-0.0004713468228462747,-0.4176638381042922,0.02892864940325418,4
